customer_id,id,full_name,starts,title,review,rating,rating_average,thank_count
10938691,11251951,,,Hài lòng,tiếng chuông nghe ko hay. dữ liệu lưu sdt không được nhieu. nét chữ hiển thị trên dt khó nhìn lắm. giờ chỉ còn hy vọng dt bền mà thôi,3,,0
7831953,11251951,,,Bình thường,sp k có loa ngoài khá. phím bấm vị trí chưa hợp lý dễ bấm lộn khi lần đầu sử dụng,3,,0
6479680,11251951,,,Cực kì hài lòng,,5,,0
1216763,11251951,,,Cực kì hài lòng,,5,,0
1487347,11251951,,,Cực kì hài lòng,"Shop giao hàng nhanh chóng, hỗ trợ nhiệt tình.  Hàng đóng gói chắc chắn, nghe gọi chất lượng. Dùng pin sạc, sạc nhanh, dễ sử dụng",5,,0
19476798,11251951,,,Cực kì hài lòng,,5,,0
18780743,11251951,,,Rất không hài lòng,"pin quá kém.quảng cáo đàm thoại ltuc 17h, chế độ chờ 200h.vậy mà 2h tụt hết pin.làm ăn gian dối.lhe thì k được",1,,0
412515,11251951,,,Rất không hài lòng,Cho pin vào thì điện thoại báo,1,,0
18416624,11251951,,,Rất không hài lòng,Máy mới mua mở ra đã bị thủng ở vị trí bảo hành. Bên nào chịu trách nhiệm đổi mới cho khách hàng đây,1,,0
16319693,11251951,,,Cực kì hài lòng,"sp tốt. hư quảng cáo ạ. m dùng thử lâu rồi mà giờ mới đánh giá đc, sorry shop nhé. shop làm ăn uy tín, nhiệt tình với khách lắm ạ. sẽ ủng hộ lần sau",5,,0
8305663,11251951,,,Không hài lòng,"Hộp móp, 2 cục pin ko dc bọc trong túi nilon mà rơi lủng lẳng trong hộp như đã có ng bóc hộp và ko thấy thẻ bảo hành",2,,0
2126629,11251951,,,Rất không hài lòng,"Chất lượng tệ. Nghe, nói loãng tiếng, âm thanh tiếng nói quá trong hay bị echo dù dã tắt chế độ eco.",1,,0
2126629,11251951,,,Rất không hài lòng,"Chất lượng tệ. Nghe, nói loãng tiếng, âm thanh tiếng nói quá trong hay bị echo dù dã tắt chế độ eco.",1,,0
8305663,11251951,,,Không hài lòng,"Hộp móp, 2 cục pin ko dc bọc trong túi nilon mà rơi lủng lẳng trong hộp như đã có ng bóc hộp và ko thấy thẻ bảo hành",2,,0
1487347,11251951,,,Cực kì hài lòng,"Shop giao hàng nhanh chóng, hỗ trợ nhiệt tình.  Hàng đóng gói chắc chắn, nghe gọi chất lượng. Dùng pin sạc, sạc nhanh, dễ sử dụng",5,,0
6320885,11251951,,,Cực kì hài lòng,"Sản phẩm đúng như hình, chưa biết tốt xấu ra sao, xài được ngay
Sản phẩm đúng như hình, chưa biết tốt xấu ra sao, xài được ngay
Sản phẩm đúng như hình, chưa biết tốt xấu ra sao, xài được ngay
Sản phẩm đúng như hình, chưa biết tốt xấu ra sao, xài được ngay",5,,1
14963236,11251951,,,Cực kì hài lòng,,5,,0
20363419,11251951,,,Cực kì hài lòng,"sản phẩm mới như cam kết, chất lượng tốt, sóng giữa 2 phòng liền nhau rất ok.",5,,0
23132884,11251951,,,Cực kì hài lòng,,5,,0
336249,11251951,,,Rất không hài lòng,Nhà bán ko xuất hóa đơn. Hỏi chẳng thèm trả lời,1,,0
14663577,11251951,,,Cực kì hài lòng,hàng ok!,5,,0
11066480,11251951,,,Hài lòng,,4,,0
608105,11376644,,,Cực kì hài lòng,,5,,0
11619221,11376644,,,Cực kì hài lòng,,5,,1
17196845,11376644,,,Cực kì hài lòng,Dùng tốt,5,,0
8825746,11376644,,,Cực kì hài lòng,Good,5,,0
16385820,11376644,,,Cực kì hài lòng,sản phẩm chất lượng,5,,0
19903163,11376644,,,Cực kì hài lòng,,5,,0
7956451,11376644,,,Cực kì hài lòng,,5,,0
5161507,11376644,,,Cực kì hài lòng,,5,,0
10190445,11376644,,,Hài lòng,"Nói chung là như hình, nhưng có 1 cái mình không ưng là chế độ sáng màn hình kém quá. Nút bấm trung bình",4,,1
2181742,11376644,,,Cực kì hài lòng,,5,,0
608105,11376644,,,Cực kì hài lòng,,5,,0
12032163,11376644,,,Cực kì hài lòng,,5,,0
10190445,11376644,,,Hài lòng,"Nói chung là như hình, nhưng có 1 cái mình không ưng là chế độ sáng màn hình kém quá. Nút bấm trung bình",4,,1
2181742,11376644,,,Cực kì hài lòng,,5,,0
7956451,11376644,,,Cực kì hài lòng,,5,,0
19903163,11376644,,,Cực kì hài lòng,,5,,0
16385820,11376644,,,Cực kì hài lòng,sản phẩm chất lượng,5,,0
8825746,11376644,,,Cực kì hài lòng,Good,5,,0
17196845,11376644,,,Cực kì hài lòng,Dùng tốt,5,,0
12032163,11376644,,,Cực kì hài lòng,,5,,0
5161507,11376644,,,Cực kì hài lòng,,5,,0
18048442,11415485,,,Cực kì hài lòng,Hài lòng,5,,0
11622907,11415485,,,Cực kì hài lòng,Ắc nét. Sử dụng tốt.,5,,0
16794836,11415485,,,Hài lòng,,4,,0
23274976,11415485,,,Cực kì hài lòng,,5,,0
14403453,11415485,,,Cực kì hài lòng,"giao hàng đúng yêu cầu, cầm chắc tay, rất tiện cho người nhà nghe gọi hỏi thăm nhau.",5,,0
11501264,11415485,,,Hài lòng,,4,,0
11225233,11415485,,,Cực kì hài lòng,,5,,0
12386494,11415485,,,Cực kì hài lòng,"rất hài lòg khi nhận hàng ,xài rất ổn,đag dự định mua thêm 1 cái như vậy nữa",5,,0
18048442,11415485,,,Cực kì hài lòng,Hài lòng,5,,0
11501264,11415485,,,Hài lòng,,4,,0
12213176,11415485,,,Hài lòng,"Cảm thấy hài lòng,còn một số chức năng chưa sử dụng được.",4,,0
21737647,11415485,,,Cực kì hài lòng,"sản phẩm giao nhanh hơn dự kiến, tính mua có loa ngoài nhưng về không có do sơ suất chỉ nhìn hình không đọc thông tin sản phẩm,nói chung xài ok.",5,,0
14403453,11415485,,,Cực kì hài lòng,"giao hàng đúng yêu cầu, cầm chắc tay, rất tiện cho người nhà nghe gọi hỏi thăm nhau.",5,,0
23274976,11415485,,,Cực kì hài lòng,,5,,0
16794836,11415485,,,Hài lòng,,4,,0
11622907,11415485,,,Cực kì hài lòng,Ắc nét. Sử dụng tốt.,5,,0
